나가, 65, 142
자자, 68, 161
라파, 42, 186
하아, 56, 176
아카, 55, 153
바자, 58, 190
파라, 56, 143
라카, 45, 176
바사, 60, 152
나하, 71, 154
마다, 96, 180
파카, 53, 161
다파, 78, 151
바하, 90, 193
사다, 44, 164
카카, 48, 143
파가, 80, 197
자마, 54, 173
자타, 59, 168
바라, 50, 197
사라, 57, 165
자타, 95, 157
카하, 46, 163
파카, 79, 177
바사, 76, 146
자바, 74, 175
다라, 61, 167
아자, 61, 142
다다, 48, 191
사나, 53, 189
나다, 59, 183
아나, 44, 189
타파, 83, 167
나타, 87, 152
라가, 69, 173
사하, 66, 190
바아, 55, 164
사카, 76, 154
다사, 89, 165
마가, 82, 172
마라, 58, 153
바바, 78, 171
바아, 50, 141
가다, 53, 180
마타, 75, 145
사라, 73, 173
바자, 69, 175
하자, 57, 192
마다, 54, 181
타다, 42, 161
가사, 87, 156
아자, 89, 185
타자, 74, 198
타라, 49, 167
자마, 59, 144
다바, 71, 177
마나, 94, 140
타바, 76, 171
가아, 44, 160
가아, 72, 192
자하, 90, 157
자카, 98, 189
나하, 87, 140
라사, 57, 169
다나, 86, 187
나마, 56, 190
마아, 57, 198
파바, 95, 160
타아, 84, 191
라아, 47, 177
마라, 90, 146
나타, 75, 172
자가, 83, 147
바나, 81, 170
타하, 80, 179
마라, 62, 154
라하, 48, 177
아파, 49, 189
타파, 88, 185
가가, 64, 180
다라, 68, 168
바마, 87, 196
파사, 95, 168
라다, 82, 155
카사, 52, 188
마아, 83, 149
사다, 54, 162
하아, 56, 144
다파, 59, 175
라라, 79, 163
아아, 69, 190
마카, 46, 191
가다, 51, 147
다사, 74, 156
가타, 59, 149
나나, 90, 199
가마, 53, 168
라파, 69, 173
아타, 79, 141
하사, 77, 187
가바, 72, 176
타파, 54, 147
아바, 41, 191
사나, 54, 165
라타, 66, 146
다파, 99, 195
마하, 75, 180
자가, 72, 190
바나, 90, 171
다카, 53, 195
자사, 75, 156
라타, 67, 190
자하, 54, 185
가마, 73, 163
사사, 70, 148
하파, 54, 196
나다, 94, 143
사나, 65, 156
가하, 65, 186
사가, 60, 147
타사, 49, 150
다나, 62, 197
파가, 44, 197
라나, 58, 169
카바, 91, 159
다자, 96, 180
카아, 85, 179
하나, 93, 184
아라, 94, 165
마사, 41, 143
하사, 82, 189
타하, 79, 193
타아, 57, 176
카가, 62, 176
다다, 53, 155
사바, 91, 143
카카, 46, 178
바하, 54, 179
가파, 40, 155
